tf_name	fold_num	run_num	epoch_num	val_loss
E2F6	1	3	11	150.147
E2F6	2	3	13	170.156
E2F6	3	2	10	158.415
E2F6	4	1	12	154.337
E2F6	5	1	10	160.146
E2F6	6	2	9	160.480
E2F6	7	2	12	160.812
E2F6	8	1	9	156.525
E2F6	9	2	8	151.860
E2F6	10	3	11	150.591
FOXA2	1	3	15	126.752
FOXA2	2	1	15	126.313
FOXA2	3	2	13	137.523
FOXA2	4	2	15	134.718
FOXA2	5	2	15	128.364
FOXA2	6	3	14	128.670
FOXA2	7	2	15	118.353
FOXA2	8	3	15	125.907
FOXA2	9	1	15	122.008
FOXA2	10	3	15	125.696
SPI1	1	3	13	86.043
SPI1	2	2	15	91.521
SPI1	3	3	15	89.565
SPI1	4	2	15	85.490
SPI1	5	3	15	86.141
SPI1	6	3	15	84.724
SPI1	7	2	15	83.055
SPI1	8	2	14	82.689
SPI1	9	1	15	85.444
SPI1	10	2	14	85.635
CEBPB	1	3	7	69.519
CEBPB	2	3	15	74.600
CEBPB	3	1	9	75.473
CEBPB	4	1	10	72.138
CEBPB	5	3	14	69.805
CEBPB	6	2	12	70.765
CEBPB	7	1	13	65.509
CEBPB	8	1	12	68.143
CEBPB	9	3	14	70.665
CEBPB	10	1	13	70.169
MAX	1	3	15	101.517
MAX	2	1	15	113.199
MAX	3	3	13	116.676
MAX	4	1	15	107.914
MAX	5	3	15	106.670
MAX	6	3	15	109.624
MAX	7	3	15	103.942
MAX	8	1	15	104.286
MAX	9	3	14	110.161
MAX	10	1	13	108.401
GABPA	1	3	11	144.198
GABPA	2	3	11	155.752
GABPA	3	3	11	172.232
GABPA	4	1	4	160.395
GABPA	5	3	11	146.536
GABPA	6	3	10	162.115
GABPA	7	3	13	141.507
GABPA	8	1	14	146.804
GABPA	9	3	15	162.555
GABPA	10	2	10	155.523
MAFK	1	3	10	112.707
MAFK	2	3	15	113.805
MAFK	3	3	15	113.050
MAFK	4	3	11	116.765
MAFK	5	3	10	106.955
MAFK	6	2	7	116.046
MAFK	7	2	6	104.675
MAFK	8	2	14	111.281
MAFK	9	2	9	109.402
MAFK	10	3	9	112.679
JUND	1	3	15	81.815
JUND	2	2	15	85.597
JUND	3	3	13	87.467
JUND	4	2	15	84.194
JUND	5	2	14	78.502
JUND	6	2	14	81.858
JUND	7	2	14	73.512
JUND	8	3	15	80.604
JUND	9	1	15	86.504
JUND	10	1	15	82.568
NR3C1-reddytime	1	2	8	116.583
NR3C1-reddytime	2	3	6	101.269
NR3C1-reddytime	3	1	9	118.417
NR3C1-reddytime	4	1	12	112.525
NR3C1-reddytime	5	1	6	94.725
NR3C1-reddytime	6	2	4	112.372
NR3C1-reddytime	7	3	4	101.154
NR3C1-reddytime	8	3	5	106.540
NR3C1-reddytime	9	1	5	112.909
NR3C1-reddytime	10	2	9	113.063
REST	1	2	14	118.488
REST	2	2	12	122.113
REST	3	3	15	131.226
REST	4	1	14	125.285
REST	5	3	13	110.789
REST	6	2	12	126.454
REST	7	2	13	106.813
REST	8	1	9	112.047
REST	9	3	13	121.555
REST	10	3	9	116.963
